Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Image, Image_Small, Description, Author_Link, Author_Image, Author_Born, Author_Web, Author_Bio 
23, As Chimney Sweepers Come to Dust (Flavia de Luce #7), Alan Bradley, 9780345539939, English, 392, January 6 2015, Mystery* Fiction* Historical Fiction* Audiobook* Young Adult* Historical* Canada, 3.96 avg rating - 26.685 ratings, 1.092, 11, https://www.goodreads.com/book/show/21874813-as-chimney-sweepers-come-to-dust, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406214651i/21874813._SX50_.jpg, NEW YORK TIMES BESTSELLERFlavia de Luce—“part Harriet the Spy* part Violet Baudelaire from Lemony Snicket’s A Series of Unfortunate Events” (The New York Times Book Review)—takes her remarkable sleuthing prowess to the unexpectedly unsavory world of Canadian boarding schools in the captivating new mystery from New York Times bestselling author Alan Bradley. Banished! is how twelve-year-old Flavia de Luce laments her predicament* when her father and Aunt Felicity ship her off to Miss Bodycote’s Female Academy* the boarding school that her mother* Harriet* once attended across the sea in Canada. The sun has not yet risen on Flavia’s first day in captivity when a gift lands at her feet. Flavia being Flavia* a budding chemist and sleuth* that gift is a charred and mummified body* which tumbles out of a bedroom chimney. Now* while attending classes* making friends (and enemies)* and assessing the school’s stern headmistress and faculty (one of whom is an acquitted murderess)* Flavia is on the hunt for the victim’s identity and time of death* as well as suspects* motives* and means. Rumors swirl that Miss Bodycote’s is haunted* and that several girls have disappeared without a trace. When it comes to solving multiple mysteries* Flavia is up to the task—but her true destiny has yet to be revealed. Praise for As Chimney Sweepers Come to Dust  “Flavia de Luce [is] perhaps contemporary crime fiction’s most original character—to say she is Pippi Longstocking with a Ph. D. in chemistry (speciality: poisons) barely begins to describe her. ”—Maclean’s  “Another treat for readers of all ages . . . [As Chimney Sweepers Come to Dust] maintains the high standards Bradley set from the start. ”—Booklist  “Exceptional . . . [The] intriguing setup only gets better* and Bradley makes Miss Bodycote’s a suitably Gothic setting for Flavia’s sleuthing. Through it all* her morbid narrative voice continues to charm. ”—Publishers Weekly (starred review)  “Even after all these years* Flavia de Luce is still the world’s greatest adolescent British chemist/busybody/sleuth. ”—The Seattle Times  “Plot twists come faster than Canadian snowfall. . . . Bradley’s sense of observation is as keen as gung-ho scientist Flavia’s. . . . The results so far are seven sparkling Flavia de Luce mysteries. ”—Library Journal   “A rattling good ‘girls’ own adventure’ yarn with an extensive cast of characters and suspects . . . When all is revealed* the links* misunderstandings and secrecy have a satisfying click. ”—Winnipeg Free Press  “A delightful installment in the series!”—LibraryReads  Acclaim for Alan Bradley’s beloved Flavia de Luce novels* winners of the Crime Writers’ Association Debut Dagger Award* Barry Award* Agatha Award* Macavity Award* Dilys Winn Award* and Arthur Ellis Award   “If ever there were a sleuth who’s bold* brilliant* and* yes* adorable* it’s Flavia de Luce. ”—USA Today   “This idiosyncratic young heroine continues to charm. ”—The Wall Street Journal   “Delightful . . . a combination of Eloise and Sherlock Holmes. ”—The Boston GlobeFrom the Hardcover edition. , https://www.goodreads.com/author/show/1074866.Alan_Bradley, https://images.gr-assets.com/authors/1256021843p5/1074866.jpg, Toronto* Canada, http://www.alanbradleyauthor.com, Librarian Note: There is more than one author in the Goodreads database with this name. With an education in electronic engineering* Alan worked at numerous radio and television stations in Ontario* and at Ryerson Polytechnical Institute (now Ryerson University) in Toronto* before becoming Director of Television Engineering in the media centre at the University of Saskatchewan in Saskatoon* where he remained for 25 years before taking early retirement to write in 1994.He became the first President of the Saskatoon Writers* and a founding member of the Saskatchewan Writers Guild. His children's stories were published in The Canadian Children's Annual* and his short story* Meet Miss Mullen* was the first recipient of the Saskatchewan Writers 
24, Revival, Stephen King, 9781476770383, English, 405, January 1 2014, Horror* Fiction* Thriller* Fantasy* Mystery* Audiobook* Science Fiction, 3.80 avg rating - 118.401 ratings, 1.080, 11, https://www.goodreads.com/book/show/20926278-revival, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510335323i/20926278._SY75_.jpg, A dark and electrifying novel about addiction* fanaticism* and what might exist on the other side of life. In a small New England town* over half a century ago* a shadow falls over a small boy playing with his toy soldiers. Jamie Morton looks up to see a striking man* the new minister. Charles Jacobs* along with his beautiful wife* will transform the local church. The men and boys are all a bit in love with Mrs. Jacobs the women and girls feel the same about Reverend Jacobs—including Jamie's mother and beloved sister* Claire. With Jamie* the Reverend shares a deeper bond based on a secret obsession. When tragedy strikes the Jacobs family* this charismatic preacher curses God* mocks all religious belief* and is banished from the shocked town. Jamie has demons of his own. Wed to his guitar from the age of thirteen* he plays in bands across the country* living the nomadic lifestyle of bar-band rock and roll while fleeing from his family's horrific loss. In his mid-thirties—addicted to heroin* stranded* desperate—Jamie meets Charles Jacobs again* with profound consequences for both men. Their bond becomes a pact beyond even the Devil's devising* and Jamie discovers that revival has many meanings. This rich and disturbing novel spans five decades on its way to the most terrifying conclusion Stephen King has ever written. It's a masterpiece from King* in the great American tradition of Frank Norris* Nathaniel Hawthorne* and Edgar Allan Poe. , https://www.goodreads.com/author/show/3389.Stephen_King, https://images.gr-assets.com/authors/1362814142p5/3389.jpg, Portland* Maine* The United States, http://www.stephenking.com, Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two* he and his older brother* David* were raised by his mother. Parts of his childhood were spent in Fort Wayne* Indiana* where his father's family was at the time* and in Stratford* Connecticut. When Stephen was eleven* his mother brought her children back to Durham* Maine* for good. Her parents* Guy and Nellie Pillsbury* had become incapacitated with old age* and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away* Mrs. King found work in the kitchens of Pineland* a ne
25, Edge of Eternity (The Century Trilogy #3), Ken Follett, 9780525953098, English, 1098, September 16 2014, Historical Fiction* Fiction* Historical* Audiobook* War* Novels* Adult, 4.17 avg rating - 99.436 ratings, 1.065, 11, https://www.goodreads.com/book/show/11389875-edge-of-eternity, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377871984i/11389875._SY75_.jpg, Edge of Eternity is the sweeping* passionate conclusion to Ken Follett’s extraordinary historical epic* The Century Trilogy. Throughout these books* Follett has followed the fortunes of five intertwined families – American* German* Russian* English* and Welsh – as they make their way through the twentieth century. Now they come to one of the most tumultuous eras of all: the enormous social* political* and economic turmoil of the 1960s through the 1980s* from civil rights* assassinations* mass political movements and Vietnam to the Berlin Wall* the Cuban Missile Crisis* presidential impeachment* revolution – and rock and roll. East German teacher Rebecca Hoffman discovers she’s been spied on by the Stasi for years and commits an impulsive act that will affect her family for the rest of their lives. …George Jakes* the child of a mixed-race couple* bypasses a corporate law career to join Robert F. Kennedy’s Justice Department* and finds himself in the middle not only of the seminal events of the civil rights battle* but a much more personal battle of his own. …Cameron Dewar* the grandson of a senator* jumps at the chance to do some official and unofficial espionage for a cause he believes in* only to discover that the world is a much more dangerous place than he’d imagined. …Dimka Dvorkin* a young aide to Nikita Khrushchev* becomes a prime agent both for good and for ill as the United States and the Soviet Union race to the brink of nuclear war* while his twin sister* Tania* carves out a role that will take her from Moscow to Cuba to Prague to Warsaw – and into history. As always with Follett* the historical background is brilliantly researched and rendered* the action fast-moving* the characters rich in nuance and emotion. With the hand of a master* he brings us into a world we thought we knew but now will never seem the same again. , https://www.goodreads.com/author/show/3447.Ken_Follett, https://images.gr-assets.com/authors/1604049089p5/3447.jpg, Cardiff* The United Kingdom, http://www.ken-follett.com/, Ken Follett is one of the world’s most successful authors. Over 170 million copies of the 36 books he has written have been sold in over 80 countries and in 33 languages.Born on June 5th* 1949 in Cardiff* Wales* the son of a tax inspector* Ken was educated at state schools and went on to graduate from University College* London* with an Honours degree in Philosophy – later to be made a Fellow of the College in 1995.He started his career as a reporter* first with his hometown newspaper the South Wales Echo and then with the London Evening News. Subsequently* he worked for a small London publishing house* Everest Books* eventually becoming Deputy Managing Director.Ken’s first major success came with the publication of Eye of the Needle in 197
26, The Selection (The Selection #1), Kiera Cass, 9780062059932, English, 336, April 24 2012, Young Adult* Romance* Dystopia* Fantasy* Fiction* Science Fiction* Audiobook, 4.09 avg rating - 1.412.131 ratings, 1.064, 11, https://www.goodreads.com/book/show/10507293-the-selection, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg, For thirty-five girls* the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon. But for America Singer* being Selected is a nightmare. It means turning her back on her secret love with Aspen* who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks. Then America meets Prince Maxon. Gradually* she starts to question all the plans she's made for herself—and realizes that the life she's always dreamed of may not compare to a future she never imagined. , https://www.goodreads.com/author/show/2987125.Kiera_Cass, https://images.gr-assets.com/authors/1318605410p5/2987125.jpg, The United States, http://www.kieracass.com/, 100 Things I Love:Being married. Cake. The smell of Autumn. Motherhood. Books. Elephants. Back rubs. On demand movies. Actually going out to movies. Faith. Cinnamon rolls. My family. Butterflies. When my kitchen is clean. Crayons. Pink. Tote bags. Dancing. Organizing via color coordination. That my wedding dress was tea length* not floor. Baking. My house. Writing utensils. Paper. India. The sound of water. Making videos. Buttons. The word Episcopalian. Making people laugh. Layering clothes. British accents. Pinterest. Animation. Fireworks. The smell of the Ocean. My wedding rings. Aprons. Reasons to get dressed up. Sex. Pop music. Stars. Taking walks. Daydreaming. Stickers. School Spirit. My friends. Living in a small town. Japan. Singing.
27, Station Eleven, Emily St. John Mandel, 9780385353304, English, 333, September 9 2014, Fiction* Science Fiction* Dystopia* Post Apocalyptic* Audiobook* Adult* Fantasy, 4.07 avg rating - 467.260 ratings, 1.062, 11, https://www.goodreads.com/book/show/20170404-station-eleven, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404._SX50_.jpg, Set in the days of civilization's collapse* Station Eleven tells the story of a Hollywood star* his would-be savior* and a nomadic group of actors roaming the scattered outposts of the Great Lakes region* risking everything for art and humanity. One snowy night a famous Hollywood actor slumps over and dies onstage during a production of King Lear. Hours later* the world as we know it begins to dissolve. Moving back and forth in time—from the actor's early days as a film star to fifteen years in the future* when a theater troupe known as the Traveling Symphony roams the wasteland of what remains—this suspenseful* elegiac* spellbinding novel charts the strange twists of fate that connect five people: the actor* the man who tried to save him* the actor's first wife* his oldest friend* and a young actress with the Traveling Symphony* caught in the crosshairs of a dangerous self-proclaimed prophet. , https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel, https://images.gr-assets.com/authors/1576606299p5/2786093.jpg, Comox* British Columbia* Canada, http://www.emilymandel.com, Emily St. John Mandel was born and raised on the west coast of British Columbia* Canada. She studied contemporary dance at the School of Toronto Dance Theatre and lived briefly in Montreal before relocating to New York. She is the author of five novels* including The Glass Hotel (spring 2020) and Station Eleven (2014.) Station Eleven was a finalist for a National Book Award and the PEN/Faulkner Award* won the Morning News Tournament of Books* and has been translated into 34 languages. She lives in NYC with her husband and daughter. 
28, Paper Towns, John Green, 9780142414934, English, 305, October 16 2008, Young Adult* Fiction* Contemporary* Romance* Mystery* Realistic Fiction* Coming Of Age, 3.72 avg rating - 1.262.732 ratings, 1.062, 11, https://www.goodreads.com/book/show/6442769-paper-towns, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg, Who is the real Margo?Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs into his life—dressed like a ninja and summoning him for an ingenious campaign of revenge—he follows. After their all-nighter ends* and a new day breaks* Q arrives at school to discover that Margo* always an enigma* has now become a mystery. But Q soon learns that there are clues—and they're for him. Urged down a disconnected path* the closer he gets* the less Q sees the girl he thought he knew. . . , https://www.goodreads.com/author/show/1406384.John_Green, https://images.gr-assets.com/authors/1353452301p5/1406384.jpg, Indianapolis* The United States, http://www.johngreenbooks.com/, Librarian Note: There is more than one author in the Goodreads database with this name.John Green's first novel* Looking for Alaska* won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel* An Abundance of Katherines* was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel* Paper Towns* is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012* his most recent novel* The Fault in Our Stars* was met with wide critical acclaim* unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times* on NPR* and from award-winning author Markus Zusak. The book also 
29, The Perks of Being a Wallflower, Stephen Chbosky, null, English, 213, February 1 1999, Young Adult* Fiction* Contemporary* Classics* Mental Health* Realistic Fiction* LGBT, 4.22 avg rating - 1.663.422 ratings, 1.061, 11, https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg, standing on the fringes of life. . . offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor. This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary* Charlie's letters are singular and unique* hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes* family dramas and new friends. The world of sex* drugs* and The Rocky Horror Picture Show* when all one requires is that the perfect song on that perfect drive to feel infinite. Through Charlie* Stephen Chbosky has created a deeply affecting coming-of-age story* a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up. (back cover), https://www.goodreads.com/author/show/12898.Stephen_Chbosky, https://images.gr-assets.com/authors/1599132962p5/12898.jpg, Pittsburgh* The United States, Stephen Chbosky’s books, Stephen Chbosky grew up in Pittsburgh* Pennsylvania* and graduated from the University of Southern California's Filmic Writing Program. His first film* The Four Corners of Nowhere* premiered at the 1995 Sundance Film Festival and went on to win Best Narrative Feature honors at the Chicago Underground Film Festival. He is the recipient of the Abraham Polonsky Screenwriting Award for his screenplay Everything Divided as well as a participant in the Sundance Institute's filmmakers' lab for his current project* Fingernails and Smooth Skin. Chbosky lives in New York. For more information* please see http://en.wikipedia.org/wiki/Stephen_...
30, The Rosie Project (Don Tillman #1), Graeme Simsion, null, English, 305, January 30 2013, Fiction* Romance* Contemporary* Humor* Chick Lit* Adult* Audiobook, 4.02 avg rating - 532.445 ratings, 1.054, 11, https://www.goodreads.com/book/show/17925125-the-rosie-project, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368547996i/17925125._SY75_.jpg, An international sensation* this hilarious* feel-good novel is narrated by an oddly charming and socially challenged genetics professor on an unusual quest: to find out if he is capable of true love. Don Tillman* professor of genetics* has never been on a second date. He is a man who can count all his friends on the fingers of one hand* whose lifelong difficulty with social rituals has convinced him that he is simply not wired for romance. So when an acquaintance informs him that he would make a “wonderful” husband* his first reaction is shock. Yet he must concede to the statistical probability that there is someone for everyone* and he embarks upon The Wife Project. In the orderly* evidence-based manner with which he approaches all things* Don sets out to find the perfect partner. She will be punctual and logical—most definitely not a barmaid* a smoker* a drinker* or a late-arriver. Yet Rosie Jarman is all these things. She is also beguiling* fiery* intelligent—and on a quest of her own. She is looking for her biological father* a search that a certain DNA expert might be able to help her with. Don's Wife Project takes a back burner to the Father Project and an unlikely relationship blooms* forcing the scientifically minded geneticist to confront the spontaneous whirlwind that is Rosie—and the realization that love is not always what looks good on paper. The Rosie Project is a moving and hilarious novel for anyone who has ever tenaciously gone after life or love in the face of overwhelming challenges. , https://www.goodreads.com/author/show/1895943.Graeme_Simsion, https://images.gr-assets.com/authors/1613778776p5/1895943.jpg, Auckland* New Zealand, http://www.graemesimsion.com, Graeme Simsion is a former IT consultant and the author of two nonfiction books on database design who decided* at the age of fifty* to turn his hand to fiction. His first novel* The Rosie Project* was published in 2013 and translation rights have been sold in forty languages. Movie rights have been optioned to Sony Pictures. The sequels* The Rosie Effect* and The Rosie Result* were also bestsellers* with total sales of the series in excess of five million. Graeme's third novel was The Best of Adam Sharp* a story of a love affair re-kindled - and its consequences. Movie rights have been optioned by Vocab Films / New Sparta Films with Toni Collette attached to direct.Creative Differences was originally created as an 'Audible Original' audiob
31, Carry On (Simon Snow #1), Rainbow Rowell, 9781250049551, English, 522, October 6 2015, Fantasy* Young Adult* LGBT* Romance* Fiction* Queer* Magic, 4.19 avg rating - 294.078 ratings, 881, 9, https://www.goodreads.com/book/show/23734628-carry-on, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514812545i/23734628._SY75_.jpg, Simon Snow is the worst chosen one who’s ever been chosen. That’s what his roommate* Baz* says. And Baz might be evil and a vampire and a complete git* but he’s probably right. Half the time* Simon can’t even make his wand work* and the other half* he sets something on fire. His mentor’s avoiding him* his girlfriend broke up with him* and there’s a magic-eating monster running around wearing Simon’s face. Baz would be having a field day with all this* if he were here—it’s their last year at the Watford School of Magicks* and Simon’s infuriating nemesis didn’t even bother to show up. Carry On is a ghost story* a love story* a mystery and a melodrama. It has just as much kissing and talking as you’d expect from a Rainbow Rowell story—but far* far more monsters. , https://www.goodreads.com/author/show/4208569.Rainbow_Rowell, https://images.gr-assets.com/authors/1652825664p5/4208569.jpg, Omaha* Nebraska* The United States, http://www.rainbowrowell.com, Rainbow Rowell writes all kinds of stuff. Sometimes she writes about adults (ATTACHMENTS* LANDLINE). Sometimes she writes about teenagers (ELEANOR & PARK* FANGIRL) . Sometimes — actually* a lot of the time — she writes about lovesick vampires and guys with dragon wings. (THE SIMON SNOW TRILOGY). Recently* she’s been writing comics* including her first graphic novel* PUMPKINHEADS* and the monthly SHE-HULK comic for Marvel.She lives in Omaha* Nebraska. More at rainbowrowell.com.
32, The Boston Girl, Anita Diamant, 9781439199350, English, 320, December 9 2014, Historical Fiction* Fiction* Audiobook* Historical* Adult Fiction* Book Club* Adult, 3.82 avg rating - 83.588 ratings, 879, 9, https://www.goodreads.com/book/show/22450859-the-boston-girl, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418103945i/22450859._SX50_.jpg, From the New York Times bestselling author of The Red Tent and Day After Night* comes an unforgettable coming-of-age novel about family ties and values* friendship and feminism told through the eyes of a young Jewish woman growing up in Boston in the early twentieth century. Addie Baum is The Boston Girl* born in 1900 to immigrant parents who were unprepared for and suspicious of America and its effect on their three daughters. Growing up in the North End* then a teeming multicultural neighborhood* Addie's intelligence and curiosity take her to a world her parents can't imagine - a world of short skirts* movies* celebrity culture and new opportunities for women. Addie wants to finish high school and dreams of going to college. She wants a career and to find true love. Eighty-five-year-old Addie tells the story of her life to her twenty-two-year-old granddaughter* who has asked her "How did you get to be the woman you are today?" She begins in 1915* the year she found her voice and made friends who would help shape the course of her life. From the one-room tenement apartment she shared with her parents and two sisters* to the library group for girls she joins at a neighborhood settlement house* to her first* disastrous love affair* Addie recalls her adventures with compassion for the naïve girl she was and a wicked sense of humor. Written with the same attention to historical detail and emotional resonance that made Anita Diamant's previous novels bestsellers* The Boston Girl is a moving portrait of one woman’s complicated life in twentieth-century America* and a fascinating look at a generation of women finding their places in a changing world. , https://www.goodreads.com/author/show/626222.Anita_Diamant, https://images.gr-assets.com/authors/1540697897p5/626222.jpg, New York City* The United States, http://www.anitadiamant.com, Anita Diamant is the author of thirteen books -- including THE RED TENT. Based on the biblical story of Dinah* THE RED TENT became a word-of-mouth bestseller in the US and around the world* where it has been published in more than 25 countries. Her new book* a work of nonfiction. PERIOD. END OF SENTENCE. A NEW CHAPTER IN THE FIGHT FOR MENSTRUAL JUSTICE will be published in May 2021.* As different as they are* this book returns to some of the themes of THE RED TENT -- including the meaning and experience of menstruation.Anita has written four other novels: GOOD HARBOR* THE LAST DAYS OF DOGTOWN* DAY AFTER NIGHT* and THE BOSTON GIRL. She is also the author of six non-fiction guides to contemporary Jewish life* which have become classic referen
33, Golden Son (Red Rising Saga #2), Pierce Brown, 9780345539823, English, 430, January 6 2015, Science Fiction* Fantasy* Fiction* Dystopia* Young Adult* Audiobook* Adult, 4.44 avg rating - 203.338 ratings, 877, 9, https://www.goodreads.com/book/show/18966819-golden-son, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819._SY75_.jpg, As a Red* Darrow grew up working the mines deep beneath the surface of Mars* enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters* the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo* his true love and inspiration* laid down her own life. He becomes a Gold* infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world* Darrow finds friendship* respect* and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny* Darrow must confront the treachery arrayed against him* overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit* Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more. , https://www.goodreads.com/author/show/6474348.Pierce_Brown, https://images.gr-assets.com/authors/1417558860p5/6474348.jpg, , https://www.piercebrown.com/, Hello. I'm Pierce Brown* the author of the Red Rising Saga* a NYT #1 bestseller. I figured I'd write you myself than have corporate copy pasted below my totally natural author photo. In my books you'll find stories of men and women finding their inner strength when all seems lost. You'll also find me exploring themes of love* violence* hope* and power--what it means* why people seek it* and how they hold onto it.IG @piercebrownofficial Twitter @pierce_brown 
34, The Burning Room (Harry Bosch #17 -  Harry Bosch Universe #26), Michael Connelly, 9780316225939, English, 388, November 3 2014, Mystery* Fiction* Crime* Thriller* Audiobook* Detective* Mystery Thriller, 4.12 avg rating - 56.159 ratings, 783, 8, https://www.goodreads.com/book/show/20881071-the-burning-room, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071._SY75_.jpg, In the LAPD's Open-Unsolved Unit* not many murder victims die almost a decade after the crime. So when a man succumbs to complications from being shot by a stray bullet nine years earlier* Bosch catches a case in which the body is still fresh* but any other evidence is virtually nonexistent. Now Bosch and his new partner* rookie Detective Lucia Soto* are tasked with solving what turns out to be a highly charged* politically sensitive case. Starting with the bullet that's been lodged for years in the victim's spine* they must pull new leads from years-old information* which soon reveals that this shooting may have been anything but random. , https://www.goodreads.com/author/show/12470.Michael_Connelly, https://images.gr-assets.com/authors/1539114448p5/12470.jpg, Philadelphia* Pennsylvania* The United States, http://www.michaelconnelly.com/, Librarian Note: There is more than one author in the Goodreads' database with this name. See this thread for more information. Michael Connelly decided to become a writer after discovering the books of Raymond Chandler while attending the University of Florida. Once he decided on this direction he chose a major in journalism and a minor in creative writing — a curriculum in which one of his teachers was novelist Harry Crews. After graduating in 1980* Connelly worked at newspapers in Daytona Beach and Fort Lauderdale* Florida* primarily specializing in the crime beat. In Fort Lauderdale he wrote about police and crime during the height of the murder and violence wave that rolled over South Florida during the so-called cocaine wars. In 1986* 
35, Finders Keepers (Bill Hodges Trilogy #2), Stephen King, 9781501100130, English, 448, June 2 2015, Fiction* Horror* Thriller* Mystery* Crime* Audiobook* Mystery Thriller, 4.06 avg rating - 136.613 ratings, 782, 8, https://www.goodreads.com/book/show/22453035-finders-keepers, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035._SY75_.jpg, Librarian's Note: Alternate cover for this ISBN can be found here. A masterful* intensely suspenseful novel about a reader whose obsession with a reclusive writer goes far too far—a book about the power of storytelling* starring the same trio of unlikely and winning heroes King introduced in Mr. Mercedes“Wake up* genius. ” So begins King’s instantly riveting story about a vengeful reader. The genius is John Rothstein* an iconic author who created a famous character* Jimmy Gold* but who hasn’t published a book for decades. Morris Bellamy is livid* not just because Rothstein has stopped providing books* but because the nonconformist Jimmy Gold has sold out for a career in advertising. Morris kills Rothstein and empties his safe of cash* yes* but the real treasure is a trove of notebooks containing at least one more Gold novel. Morris hides the money and the notebooks* and then he is locked away for another crime. Decades later* a boy named Pete Saubers finds the treasure* and now it is Pete and his family that Bill Hodges* Holly Gibney* and Jerome Robinson must rescue from the ever-more deranged and vengeful Morris when he’s released from prison after thirty-five years. Not since Misery has King played with the notion of a reader whose obsession with a writer gets dangerous. Finders Keepers is spectacular* heart-pounding suspense* but it is also King writing about how literature shapes a life—for good* for bad* forever. , https://www.goodreads.com/author/show/3389.Stephen_King, https://images.gr-assets.com/authors/1362814142p5/3389.jpg, Portland* Maine* The United States, http://www.stephenking.com, Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two* he and his older brother* David* were raised by his mother. Parts of his childhood were spent in Fort Wayne* Indiana* where his father's family was at the time* and in Stratford* Connecticut. When Stephen was eleven* his mother brought her children back to Durham* Maine* for good. Her parents* Guy and Nellie Pillsbury* had become incapacitated with old age* and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away* Mrs. King found work in the kitchens of Pineland* a ne
