Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Author_Link, Image, Image_Small, Description 
11, Sarah's Key, Tatiana de Rosnay,9.78031E+12, English,294," September 1, 2006"," Historical Fiction, Fiction, Holocaust, Historical, World War II, France, War", 4.17 avg rating - 462.444 ratings,3.596,37, https://www.goodreads.com/book/show/556602.Sarah_s_Key, https://www.goodreads.com/author/show/305400.Tatiana_de_Rosnay, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438863728i/556602.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438863728i/556602._SX50_.jpg," Paris, July 1942: Ten-year-old Sarah is brutally arrested with her family in the Vel' d'Hiv' roundup, the most notorious act of French collaboration with the Nazis. but before the police come to take them, Sarah locks her younger brother, Michel, in their favorite hiding place, a cupboard in the family's apartment. She keeps the key, thinking that she will be back within a few hours. Paris, May 2002: On Vel' d'Hiv's sixtieth anniversary, Julia Jarmond, an American journalist, is asked by her Paris-based American magazine to write an article about this black day in France's past. Julia has lived in Paris for nearly twenty-five years, married a Frenchman, and she is shocked both by her ignorance about the event and the silence that still surrounds it. In the course of her investigation, she stumbles onto a trail of long-hidden family secrets that connects her to Sarah. Julia finds herself compelled to retrace the girl's ordeal, from the terrible days spent shut in at the Vel' d'Hiv' to the camps and beyond. As she probes into Sarah's past, she begins to question her own place in France and to reevaluate her marriage and her life. Writing about the fate of her country with a pitiless clarity, Tatiana de Rosnay offers us a brilliantly subtle, compelling portrait of France under occupation and reveals the taboos and denial surrounding this painful episode in French history. (front flap)"
12, The Husband's Secret, Liane Moriarty,9.7804E+12, English,396," March 1, 2015"," Fiction, Mystery, Chick Lit, Contemporary, Audiobook, Adult, Thriller", 3.95 avg rating - 639.202 ratings,2.847,30, https://www.goodreads.com/book/show/17802724-the-husband-s-secret, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1460577225i/17802724.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460577225i/17802724._SY75_.jpg," At the heart of The Husband’s Secret is a letter that’s not meant to be readMy darling Cecilia, if you’re reading this, then I’ve died. . . Imagine that your husband wrote you a letter, to be opened after his death. Imagine, too, that the letter contains his deepest, darkest secret—something with the potential to destroy not just the life you built together, but the lives of others as well. Imagine, then, that you stumble across that letter while your husband is still very much alive. . . . Cecilia Fitzpatrick has achieved it all—she’s an incredibly successful businesswoman, a pillar of her small community, and a devoted wife and mother. Her life is as orderly and spotless as her home. But that letter is about to change everything, and not just for her: Rachel and Tess barely know Cecilia—or each other—but they too are about to feel the earth-shattering repercussions of her husband’s secret. Acclaimed author Liane Moriarty has written a gripping, thought-provoking novel about how well it is really possible to know our spouses—and, ultimately, ourselves. "
13, Gray Mountain, John Grisham,9.78039E+12, English,368," October 21, 2014"," Fiction, Mystery, Thriller, Legal Thriller, Audiobook, Crime, Suspense", 3.64 avg rating - 95.118 ratings,2.615,27, https://www.goodreads.com/book/show/20707959-gray-mountain, https://www.goodreads.com/author/show/721.John_Grisham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403704671i/20707959.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403704671i/20707959._SY75_.jpg," John Grisham has a new hero . . . and she’s full of surprises The year is 2008 and Samantha Kofer’s career at a huge Wall Street law firm is on the fast track—until the recession hits and she gets downsized, furloughed, escorted out of the building.  Samantha, though, is one of the “lucky” associates. She’s offered an opportunity to work at a legal aid clinic for one year without pay, after which there would be a slim chance that she’d get her old job back. In a matter of days Samantha moves from Manhattan to Brady, Virginia, population 2,200, in the heart of Appalachia, a part of the world she has only read about. Mattie Wyatt, lifelong Brady resident and head of the town’s legal aid clinic, is there to teach her how to “help real people with real problems. ” For the first time in her career, Samantha prepares a lawsuit, sees the inside of an actual courtroom, gets scolded by a judge, and receives threats from locals who aren’t so thrilled to have a big-city lawyer in town. And she learns that Brady, like most small towns, harbors some big secrets. Her new job takes Samantha into the murky and dangerous world of coal mining, where laws are often broken, rules are ignored, regulations are flouted, communities are divided, and the land itself is under attack from Big Coal. Violence is always just around the corner, and within weeks Samantha finds herself engulfed in litigation that turns deadly. "
14, Memory Man (Amos Decker #1), David Baldacci,9.78146E+12, English,416," April 21, 2015"," Mystery, Fiction, Thriller, Crime, Mystery Thriller, Audiobook, Suspense", 4.10 avg rating - 130.633 ratings,2.135,22, https://www.goodreads.com/book/show/23153154-memory-man, https://www.goodreads.com/author/show/9291.David_Baldacci, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421788503i/23153154.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421788503i/23153154._SX50_.jpg," Amos Decker's life changed forever--twice. The first time was on the gridiron. A big, towering athlete, he was the only person from his hometown of Burlington ever to go pro. But his career ended before it had a chance to begin. On his very first play, a violent helmet-to-helmet collision knocked him off the field for good, and left him with an improbable side effect--he can never forget anything. The second time was at home nearly two decades later. Now a police detective, Decker returned from a stakeout one evening and entered a nightmare--his wife, young daughter, and brother-in-law had been murdered. His family destroyed, their killer's identity as mysterious as the motive behind the crime, and unable to forget a single detail from that horrible night, Decker finds his world collapsing around him. He leaves the police force, loses his home, and winds up on the street, taking piecemeal jobs as a private investigator when he can. But over a year later, a man turns himself in to the police and confesses to the murders. At the same time a horrific event nearly brings Burlington to its knees, and Decker is called back in to help with this investigation. Decker also seizes his chance to learn what really happened to his family that night. To uncover the stunning truth, he must use his remarkable gifts and confront the burdens that go along with them. He must endure the memories he would much rather forget. And he may have to make the ultimate sacrifice. Memory Man will stay with you long after the turn of the final page. "
15, Sycamore Row (Jake Brigance #2), John Grisham,9.78039E+12, English,447," October 22, 2013"," Fiction, Mystery, Thriller, Legal Thriller, Crime, Audiobook, Mystery Thriller", 4.07 avg rating - 125.168 ratings,2.025,21, https://www.goodreads.com/book/show/17288661-sycamore-row, https://www.goodreads.com/author/show/721.John_Grisham, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375888633i/17288661.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375888633i/17288661._SY75_.jpg," Seth Hubbard is a wealthy man dying of lung cancer. He trusts no one. Before he hangs himself from a sycamore tree, Hubbard leaves a new, handwritten, will. It is an act that drags his adult children, his black maid, and Jake into a conflict as riveting and dramatic as the murder trial that made Brigance one of Ford County's most notorious citizens, just three years earlier.  The second will raises far more questions than it answers. Why would Hubbard leave nearly all of his fortune to his maid? Had chemotherapy and painkillers affected his ability to think clearly? And what does it all have to do with a piece of land once known as Sycamore Row?"
16, The Escape (John Puller #3), David Baldacci,9.78146E+12, English,470," September 16, 2014"," Thriller, Fiction, Mystery, Suspense, Audiobook, Crime, Mystery Thriller", 4.20 avg rating - 53.142 ratings,1.743,18, https://www.goodreads.com/book/show/20767918-the-escape, https://www.goodreads.com/author/show/9291.David_Baldacci, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404163742i/20767918.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404163742i/20767918._SY75_.jpg," It's a prison unlike any other. Military discipline rules. Its security systems are unmatched. None of its prisoners dream of escaping. They know it's impossible. Until now. John Puller's older brother, Robert, was convicted of treason and national security crimes. His inexplicable escape from prison makes him the most wanted criminal in the country. Some in the government believe that John Puller represents their best chance at capturing Robert alive, and so Puller takes on the burden of bringing his brother in to face justice. But Puller quickly discovers that there are others pursuing his brother, who only see Robert as a traitor and are unconcerned if he survives. Puller is in turn pushed into an uneasy, fraught partnership with another agent, who may have an agenda of her own. They dig more deeply into the case together, and Puller finds that not only are her allegiances unclear, but that there are troubling details about his brother's conviction. . . . and that someone is out there who doesn't want the truth to ever come to light. As the nation-wide manhunt for Robert grows more urgent, Puller's masterful skills as an investigator and strength as a fighter may not be enough to save his brother-or himself. "
17, The Rosie Effect (Don Tillman #2), Graeme Simsion,9.78192E+12, English,415," September 24, 2014"," Fiction, Romance, Contemporary, Humor, Audiobook, Chick Lit, Adult", 3.62 avg rating - 127.029 ratings,1.625,17, https://www.goodreads.com/book/show/21844019-the-rosie-effect, https://www.goodreads.com/author/show/1895943.Graeme_Simsion, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1426407990i/21844019.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426407990i/21844019._SY75_.jpg," THE ROSIE PROJECT WAS COMPLETE BUT I WAS UNPREPARED FOR THE ROSIE EFFECT. GREETINGS. My name is Don Tillman. I am forty-one years old. I have been married to Rosie Jarman, world's most perfect woman, for ten months and ten days. Marriage added significant complexity to my life. When we relocated to New York City, Rosie brought three maximum-size suitcases. We abandoned the Standardised Meal System and agreed that sex should not be scheduled in advance. Then Rosie told me we had 'something to celebrate', and I was faced with a challenge even greater than finding a partner. I have attempted to follow traditional protocols and have sourced advice from all six of my friends, plus a therapist and the internet. The result has been a web of deceit. I am now in danger of prosecution, deportation and professional disgrace. And of losing Rosie forever. "
18, Leaving Time, Jodi Picoult,9.78035E+12, English,398," October 14, 2014"," Fiction, Mystery, Audiobook, Contemporary, Adult Fiction, Adult, Chick Lit", 3.98 avg rating - 168.452 ratings,1.619,17, https://www.goodreads.com/book/show/18816603-leaving-time, https://www.goodreads.com/author/show/7128.Jodi_Picoult, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394487223i/18816603.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394487223i/18816603._SY75_.jpg," For more than a decade, Jenna Metcalf has never stopped thinking about her mother, Alice, who mysteriously disappeared in the wake of a tragic accident. Refusing to believe she was abandoned, Jenna searches for her mother regularly online and pores over the pages of Alice’s old journals. A scientist who studied grief among elephants, Alice wrote mostly of her research among the animals she loved, yet Jenna hopes the entries will provide a clue to her mother’s whereabouts. As Jenna’s memories dovetail with the events in her mother’s journals, the story races to a mesmerizing finish. "
19, Be Careful What You Wish For (The Clifton Chronicles #4), Jeffrey Archer,9.78125E+12, English,387," March 11, 2014"," Fiction, Historical Fiction, Mystery, Audiobook, Historical, Thriller, Drama", 4.11 avg rating - 37.378 ratings,1.566,16, https://www.goodreads.com/book/show/18404285-be-careful-what-you-wish-for, https://www.goodreads.com/author/show/4820.Jeffrey_Archer, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392576182i/18404285.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392576182i/18404285._SY75_.jpg," Bestselling author Jeffrey Archer's Be Careful What You Wish For opens with Harry Clifton and his wife Emma rushing to hospital to learn the fate of their son Sebastian, who has been involved in a fatal car accident. But who died, Sebastian or his best friend Bruno?When Ross Buchanan is forced to resign as chairman of the Barrington Shipping Company, Emma Clifton wants to replace him. But Don Pedro Martinez intends to install his puppet, the egregious Major Alex Fisher, in order to destroy the Barrington family firm just as the company plans to build its new luxury liner, the MV Buckingham. Back in London, Harry and Emma's adopted daughter wins a scholarship to the Slade Academy of Art where she falls in love with a fellow student, Clive Bingham, who asks her to marry him. Both families are delighted until Priscilla Bingham, Jessica's future mother-in-law, has a visit from an old friend, Lady Virginia Fenwick, who drops her particular brand of poison into the wedding chalice. Then, without warning, Cedric Hardcastle, a bluff Yorkshireman who no one has come across before, takes his place on the board of Barringtons. This causes an upheaval that none of them could have anticipated, and will change the lives of every member of the Clifton and Barrington families. Hardcastle's first decision is who to support to become the next chairman of the board: Emma Clifton or Major Alex Fisher? And with that decision, the story takes yet another twist that will keep you on the edge of your seat. Be Careful What You Wish For showcases the master storyteller's talent as never before – when the Clifton and Barrington families march forward into the sixties, in this epic tale of love, revenge, ambition and betrayal. "
20, A Spool of Blue Thread, Anne Tyler,9.78039E+12, English,358," February 10, 2015"," Fiction, Contemporary, Literary Fiction, Audiobook, Family, Historical Fiction, Adult Fiction", 3.43 avg rating - 91.744 ratings,1.544,16, https://www.goodreads.com/book/show/22501028-a-spool-of-blue-thread, https://www.goodreads.com/author/show/457.Anne_Tyler, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1451435883i/22501028.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451435883i/22501028._SX50_.jpg," From the beloved Pulitzer Prize-winning author--now in the fiftieth year of her remarkable career--a brilliantly observed, joyful and wrenching, funny and true new novel that reveals, as only she can, the very nature of a family's life.      ""It was a beautiful, breezy, yellow-and-green afternoon. "" This is the way Abby Whitshank always begins the story of how she fell in love with Red that day in July 1959. The whole family--their two daughters and two sons, their grandchildren, even their faithful old dog--is on the porch, listening contentedly as Abby tells the tale they have heard so many times before. And yet this gathering is different too: Abby and Red are growing older, and decisions must be made about how best to look after them, and the fate of the house so lovingly built by Red's father. Brimming with the luminous insight, humor, and compassion that are Anne Tyler's hallmarks, this capacious novel takes us across three generations of the Whitshanks, their shared stories and long-held secrets, all the unguarded and richly lived moments that combine to define who and what they are as a family. "
21, What Alice Forgot, Liane Moriarty,9.78014E+12, English,487," May 1, 2009"," Fiction, Chick Lit, Contemporary, Romance, Audiobook, Mystery, Adult", 4.08 avg rating - 441.650 ratings,1.516,16, https://www.goodreads.com/book/show/6469165-what-alice-forgot, https://www.goodreads.com/author/show/322069.Liane_Moriarty, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377159022i/6469165.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377159022i/6469165._SY75_.jpg," Alice Love is twenty-nine, crazy about her husband, and pregnant with her first child. So imagine Alice’s surprise when she comes to on the floor of a gym and is whisked off to the hospital where she discovers the honeymoon is truly over — she’s getting divorced, she has three kids and she’s actually 39 years old. Alice must reconstruct the events of a lost decade, and find out whether it’s possible to reconstruct her life at the same time. She has to figure out why her sister hardly talks to her, and how is it that she’s become one of those super skinny moms with really expensive clothes. Ultimately, Alice must discover whether forgetting is a blessing or a curse, and whether it’s possible to start over. "
